System,Package,Module,Smell,Line Ini,Line Fin
Scylla,django.django.contrib.admin,actions,Long method,15,87
Scylla,django.django.contrib.admin,checks,Long method,25,40
Scylla,django.django.contrib.admin,checks,Long method,41,52
Scylla,django.django.contrib.admin,checks,Long method,53,69
Scylla,django.django.contrib.admin,checks,Long method,70,103
Scylla,django.django.contrib.admin,checks,Long method,104,117
Scylla,django.django.contrib.admin,checks,Long method,118,154
Scylla,django.django.contrib.admin,checks,Long method,155,167
Scylla,django.django.contrib.admin,checks,Long method,168,196
Scylla,django.django.contrib.admin,checks,Long method,197,215
Scylla,django.django.contrib.admin,checks,Long method,225,237
Scylla,django.django.contrib.admin,checks,Long method,238,250
Scylla,django.django.contrib.admin,checks,Long method,251,265
Scylla,django.django.contrib.admin,checks,Long method,266,279
Scylla,django.django.contrib.admin,checks,Long method,280,304
Scylla,django.django.contrib.admin,checks,Long method,305,321
Scylla,django.django.contrib.admin,checks,Long method,322,337
Scylla,django.django.contrib.admin,checks,Long method,338,352
Scylla,django.django.contrib.admin,checks,Long method,353,384
Scylla,django.django.contrib.admin,checks,Long method,385,396
Scylla,django.django.contrib.admin,checks,Long method,397,408
Scylla,django.django.contrib.admin,checks,Long method,409,422
Scylla,django.django.contrib.admin,checks,Long method,423,453
Scylla,django.django.contrib.admin,checks,Long method,454,466
Scylla,django.django.contrib.admin,checks,Long method,467,491
Scylla,django.django.contrib.admin,checks,Long method,494,509
Scylla,django.django.contrib.admin,checks,Long method,528,538
Scylla,django.django.contrib.admin,checks,Long method,539,568
Scylla,django.django.contrib.admin,checks,Long method,569,580
Scylla,django.django.contrib.admin,checks,Long method,581,638
Scylla,django.django.contrib.admin,checks,Long method,639,652
Scylla,django.django.contrib.admin,checks,Long method,653,667
Scylla,django.django.contrib.admin,checks,Long method,677,731
Scylla,django.django.contrib.admin,checks,Long method,757,768
Scylla,django.django.contrib.admin,checks,Long method,769,825
Scylla,django.django.contrib.admin,checks,Long method,834,853
Scylla,django.django.contrib.admin,checks,Long method,866,895
Scylla,django.django.contrib.admin,checks,Long method,942,952
Scylla,django.django.contrib.admin,checks,Long method,953,963
Scylla,django.django.contrib.admin,checks,Long method,964,974
Scylla,django.django.contrib.admin,checks,Large class,23,492
Scylla,django.django.contrib.admin,checks,Large class,492,854
Scylla,django.django.contrib.admin,checks,Large class,854,942
Scylla,django.django.contrib.admin,decorators,Long method,1,28
Scylla,django.django.contrib.admin,decorators,Long method,16,27
Scylla,django.django.contrib.admin,filters,Long parameter list,123,123
Scylla,django.django.contrib.admin,filters,Long parameter list,156,156
Scylla,django.django.contrib.admin,filters,Long parameter list,165,165
Scylla,django.django.contrib.admin,filters,Long parameter list,232,232
Scylla,django.django.contrib.admin,filters,Long parameter list,269,269
Scylla,django.django.contrib.admin,filters,Long parameter list,296,296
Scylla,django.django.contrib.admin,filters,Long parameter list,362,362
Scylla,django.django.contrib.admin,filters,Long method,54,61
