System,Package,Module,Smell,Line Ini,Line Fin
PySmell,django.django.contrib.admin,apps,Large class,7,
PySmell,django.django.contrib.admin,apps,Large class,17,
PySmell,django.django.contrib.admin,checks,Large class,23,
PySmell,django.django.contrib.admin,checks,Large class,492,
PySmell,django.django.contrib.admin,checks,Large class,852,
PySmell,django.django.contrib.admin,exceptions,Large class,4,
PySmell,django.django.contrib.admin,exceptions,Large class,9,
PySmell,django.django.contrib.admin,filters,Large class,21,
PySmell,django.django.contrib.admin,filters,Large class,60,
PySmell,django.django.contrib.admin,filters,Large class,117,
PySmell,django.django.contrib.admin,filters,Large class,162,
PySmell,django.django.contrib.admin,filters,Large class,227,
PySmell,django.django.contrib.admin,filters,Large class,264,
PySmell,django.django.contrib.admin,filters,Large class,291,
PySmell,django.django.contrib.admin,filters,Large class,357,
PySmell,django.django.contrib.admin,filters,Large class,413,
PySmell,django.django.contrib.admin,forms,Large class,8,
PySmell,django.django.contrib.admin,forms,Large class,28,
PySmell,django.django.contrib.admin,helpers,Large class,26,
PySmell,django.django.contrib.admin,helpers,Large class,34,
PySmell,django.django.contrib.admin,helpers,Large class,63,
PySmell,django.django.contrib.admin,helpers,Large class,88,
PySmell,django.django.contrib.admin,helpers,Large class,118,
PySmell,django.django.contrib.admin,helpers,Large class,145,
PySmell,django.django.contrib.admin,helpers,Large class,222,
PySmell,django.django.contrib.admin,helpers,Large class,278,
PySmell,django.django.contrib.admin,helpers,Large class,327,
PySmell,django.django.contrib.admin,helpers,Large class,341,
PySmell,django.django.contrib.admin,models,Large class,17,
PySmell,django.django.contrib.admin,models,Large class,31,
PySmell,django.django.contrib.admin,models,Large class,56,
PySmell,django.django.contrib.admin,options,Large class,67,
PySmell,django.django.contrib.admin,options,Large class,93,
PySmell,django.django.contrib.admin,options,Large class,475,
PySmell,django.django.contrib.admin,options,Large class,1735,
PySmell,django.django.contrib.admin,options,Large class,1823,
PySmell,django.django.contrib.admin,options,Large class,1909,
PySmell,django.django.contrib.admin,options,Large class,1913,
PySmell,django.django.contrib.admin,sites,Large class,22,
PySmell,django.django.contrib.admin,sites,Large class,26,
PySmell,django.django.contrib.admin,sites,Large class,30,
PySmell,django.django.contrib.admin,tests,Large class,9,
PySmell,django.django.contrib.admin,utils,Large class,170,
PySmell,django.django.contrib.admin,utils,Large class,424,
PySmell,django.django.contrib.admin,widgets,Large class,25,
PySmell,django.django.contrib.admin,widgets,Large class,57,
PySmell,django.django.contrib.admin,widgets,Large class,70,
PySmell,django.django.contrib.admin,widgets,Large class,83,
PySmell,django.django.contrib.admin,widgets,Large class,99,
PySmell,django.django.contrib.admin,widgets,Large class,108,
PySmell,django.django.contrib.admin,widgets,Large class,112,
PySmell,django.django.contrib.admin,widgets,Large class,142,
PySmell,django.django.contrib.admin,widgets,Large class,205,
PySmell,django.django.contrib.admin,widgets,Large class,234,
PySmell,django.django.contrib.admin,widgets,Large class,328,
PySmell,django.django.contrib.admin,widgets,Large class,336,
PySmell,django.django.contrib.admin,widgets,Large class,344,
PySmell,django.django.contrib.admin,widgets,Large class,352,
PySmell,django.django.contrib.admin,widgets,Large class,372,
PySmell,django.django.contrib.admin,widgets,Large class,382,
PySmell,django.django.contrib.admin,widgets,Large class,386,
PySmell,django.django.db.models,aggregates,Large class,13,
PySmell,django.django.db.models,aggregates,Large class,40,
PySmell,django.django.db.models,aggregates,Large class,58,
PySmell,django.django.db.models,aggregates,Large class,82,
PySmell,django.django.db.models,aggregates,Large class,87,
PySmell,django.django.db.models,aggregates,Large class,92,
PySmell,django.django.db.models,aggregates,Large class,112,
PySmell,django.django.db.models,aggregates,Large class,126,
PySmell,django.django.db.models,base,Large class,67,
PySmell,django.django.db.models,base,Large class,335,
PySmell,django.django.db.models,base,Large class,347,
PySmell,django.django.db.models,deletion,Large class,9,
PySmell,django.django.db.models,deletion,Large class,63,
PySmell,django.django.db.models,expressions,Large class,14,
PySmell,django.django.db.models,expressions,Large class,121,
PySmell,django.django.db.models,expressions,Large class,361,
PySmell,django.django.db.models,expressions,Large class,368,
PySmell,django.django.db.models,expressions,Large class,422,
PySmell,django.django.db.models,expressions,Large class,451,
PySmell,django.django.db.models,expressions,Large class,478,
PySmell,django.django.db.models,expressions,Large class,544,
PySmell,django.django.db.models,expressions,Large class,588,
PySmell,django.django.db.models,expressions,Large class,597,
PySmell,django.django.db.models,expressions,Large class,614,
PySmell,django.django.db.models,expressions,Large class,622,
PySmell,django.django.db.models,expressions,Large class,633,
PySmell,django.django.db.models,expressions,Large class,664,
PySmell,django.django.db.models,expressions,Large class,697,
PySmell,django.django.db.models,expressions,Large class,720,
PySmell,django.django.db.models,expressions,Large class,776,
PySmell,django.django.db.models,expressions,Large class,848,
PySmell,django.django.db.models,expressions,Large class,895,
PySmell,django.django.db.models,expressions,Large class,953,
PySmell,django.django.db.models,functions,Large class,9,
PySmell,django.django.db.models,functions,Large class,24,
PySmell,django.django.db.models,functions,Large class,33,
PySmell,django.django.db.models,functions,Large class,66,
PySmell,django.django.db.models,functions,Large class,90,
PySmell,django.django.db.models,functions,Large class,110,
PySmell,django.django.db.models,functions,Large class,130,
PySmell,django.django.db.models,functions,Large class,144,
PySmell,django.django.db.models,functions,Large class,152,
PySmell,django.django.db.models,functions,Large class,168,
PySmell,django.django.db.models,functions,Large class,197,
PySmell,django.django.db.models,lookups,Large class,14,
PySmell,django.django.db.models,lookups,Large class,120,
PySmell,django.django.db.models,lookups,Large class,145,
PySmell,django.django.db.models,lookups,Large class,167,
PySmell,django.django.db.models,lookups,Large class,172,
PySmell,django.django.db.models,lookups,Large class,185,
PySmell,django.django.db.models,lookups,Large class,190,
PySmell,django.django.db.models,lookups,Large class,195,
PySmell,django.django.db.models,lookups,Large class,200,
